EventId,EventTemplate,Occurrences
76cbe61c,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,746
3f41bcc8,ARPT:  ARPT: Wake Reason: Wake on  ,410
686966ab,AirPort: Link Up on ,757
1714863b,"setting hostname to ""authorMacBook-Pro.local""",178
a5f45ef9,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",532
0b1dffa3,ARPT:  AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],532
216ec47e,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason:  ,589
a0e93f54,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,207
0e86ff69,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for  seconds. Ignoring.",7685
5a114d08,network changed:     SMB,380
689b0e90,in6_unlink_ifa: IPv6 address  has no prefix,715
14d54b6a,69: Could not write data to client PID[11203](Mail) because of error - aborting connection,1
69a919c0,"69: DNSServiceCreateConnection: 0 registered records, 1 kDNSServiceFlagsShareConnection operation PID[11203](Mail)",1
d026d307,-> DNSServiceGetAddrInfo 0x4000D000 0 v4v6 <*>. ,4
37e32d33,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46!   ,483
dd62144b,Saw change in network reachability ,362
10f1ee27,network changed:  DNS- Proxy-,157
7e4f2f28,Captive: CNPluginHandler en0: Inactive,181
1c9e1a28,[09:00:56.119] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
d83b9989,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo!   ,449
d9f63fc5,-[NETClientConnection effectiveBundleID] using process name  as bundle ID (this is expected for daemons without bundle ID,780
a2f77a93,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,503
c81c4a31,[0701/090056:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,2
917d01b7,PM response took  ms  ,685
2db82054,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",388
ae21c1c4,09:00:56.157 : BTLE scanner Powered On,1
5ea5c0c7,09:00:56.158 : BTLE scanner Powered On,1
3dc7b8b8,"network_reachability_changed : network is not reachable, netbiosd is shutting down",179
8e10d319,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null)   +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),533
32809c09,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from  to ,1070
1b30f5d7,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",535
dc31a98f,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,207
c3e7bd6a,ARPT: 620653.785355: wlc_dump_aggfifo:,1
136ba5f7,ARPT:  framerdy  bmccmd  framecnt ,418
d4cd2280,ARPT:  AQM agg params  maxlen hi/lo 0x0  minlen  adjlen 0x0,418
6cc02c3c,ARPT:  AQM agg results  len hi/lo: 0x0  BAbitmap(0-3) 0 0 0 0,418
85424dac,Received Capture Event,959
1a40301a,CCFile::captureLog,968
119a7fcc,CCFile::captureLog Received Capture notice id:  reason = ,969
d7c54be4,CCFile::copyFile fileName is  source  dest ,1283
2233bcfc,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,472
0165f8eb,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,472
4d3b3fa9,CCFile::captureLogRun Skipping current file Dir file  Current File ,1254
64851176,CCFile::captureLogRun() Exiting CCFile::captureLogRun,1242
8a52b242,doSaveChannels@286: Will write to:  - ,419
e3ecd38a,AppleCamIn::handleWakeEvent_gated,701
1ef22a2a,en0: BSSID changed to ,1118
210a21df,Captive: [CNInfoNetworkActive:1748] en0: SSID  making interface primary (cache indicates network not captive),181
e698ddde,network changed: DNS* ,181
ed17dfad,Captive: en0: Not probing  (cache indicates not captive),181
6e33db40,network changed: v4(en0!:<*>) DNS+ Proxy+ SMB,95
5dfd6124,"setting hostname to ""<*>""",178
5f2dfc3c,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161 165,222
97dfa3d8,Unexpected payload found for message  dataLen ,255
c324822f,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,521
457dc7ff,[09:01:01.126] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
f386d376,QQ(10018) deny mach-lookup <*>,112
f5185b6a,############################## _getSysMsgList,343
63dc972f,AOSKit ERROR: XPC CLIENT: Connection [0x7fa11ad29e00] event handler received event with type: [XPC_TYPE_ERROR]. Description: [Connection interrupted],1
3c452fc8,Thermal pressure state:  Memory pressure state: 0,1859
5c490ac8,FA||Url||taskID[2019352994] dealloc,1
ff182f7d,ASL Sender Statistics,643
15d6563a,"ARPT:  wl0: Roamed or switched channel, reason  bssid  last RSSI ",150
c55f88d3,mDNS_RegisterInterface: Frequent transitions for interface  ,317
edf2df8e,FA||Url||taskID[2019352995] dealloc,1
c8308fab,ARPT:  wl0: setup_keepalive:      ,890
5f5dd99f,ARPT:  wl0:    <*>,890
694816a5,ARPT:  wl0: setup_keepalive: Seq:  Ack:  Win size: ,445
d296a43b,ARPT:  wl0: MDNS: IPV6 Addr: ,1325
5ead95fd,"ARPT:  wl0: MDNS: 0 SRV Recs, 0 TXT Recs",445
f80dfcd5,ARPT:  AirPort_Brcm43xx::powerChange: System Sleep,532
45ad439e,"ARPT:  IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected':  'TimeRemaining': ",475
79f0b2d3,mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>),1
a2e606c2,09:02:26.470 : BTLE scanner Powered On,1
6620ff12,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),35
cca2a0f5,[09:02:26.695] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
08c57045,[0701/090227:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
289433c9,network changed:    SMB,104
7956126b,[09:02:31.400] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
e9e2c118,Unable to start NetBIOS name service:,57
4eb82fa4,tcp_connection_handle_connect_conditions_bad  failed: 3 - No network route,888
2e959d7b,FA||Url||taskID[2019352996] dealloc,1
3a2bae78,CCProfileMonitor::freeResources done,55
34343580,Got an XPC error: Connection invalid,55
4504a5e1,"CCDataTap::profileRemoved, Owner: <*>, Name: ",110
c5aa8f52,"CCLogTap::profileRemoved, Owner: <*>, Name: ",165
117a7c21,Location icon should now be in state ,1382
70bd6693,"NETWORK: requery, 0, 0, 0, 0,  items, fQueryRetries,  fLastRetryTimestamp, ",658
3ec2e9f9,mDNS_DeregisterInterface: Frequent transitions for interface  ,150
bcc527a7,09:04:33.531 : BTLE scanner Powered On,1
c978041d,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline.""  {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline.""     NSLocalizedDescription=The Internet connection appears to be offline.}},     NSLocalizedDescription=The Internet connection appears to be offline.}",66
1592460a,"NETWORK: no response from server, reachability, 2, queryRetries, ",91
2cf461c3,[09:04:34.586] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
ca07ee33,[0701/090434:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
a71d3b68,[09:04:35.054] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
ec25dbd9,FA||Url||taskID[2019352997] dealloc,1
f0e41f2a,09:12:19.527 : BTLE scanner Powered On,1
1ae459f2,09:12:19.528 : BTLE scanner Powered On,1
3d66f6b6,[09:12:19.736] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
54849b94,[0701/091220:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
797fb57f,[09:12:20.425] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
5b8cea02,FA||Url||taskID[2019352998] dealloc,1
ba4f92ba,tcp_connection_destination_perform_socket_connect  connectx to  failed:  Network is ,224
9b6f096d,09:17:31.473 : BTLE scanner Powered On,1
462d9dbd,[09:17:32.024] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
c3ed7f71,[0701/091732:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
942ba777,[09:17:33.618] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
8c9cc27b,AutoSubmitPreference is 0,23
c7fe0412,[<*>] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],265
271f614d,FA||Url||taskID[2019352999] dealloc,1
6733b094,09:19:03.532 : BTLE scanner Powered On,1
9b9dac7c,09:19:03.533 : BTLE scanner Powered On,1
e5547a2f,[09:19:03.777] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
18e3f0ce,[0701/091904:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
5bd05a64,[09:19:08.499] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
8cf1b91d,FA||Url||taskID[2019353000] dealloc,1
99bde033,09:20:14.468 : BTLE scanner Powered On,1
a19c4a36,[09:20:14.640] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
a8153688,[0701/092015:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
2c86cd2f,[09:20:19.357] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
1693be66,[09:20:20.294] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
80b5b815,[09:20:20.788] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
61c6b647,FA||Url||taskID[2019353001] dealloc,1
7bc5e28c,09:21:52.471 : BTLE scanner Powered On,1
ff2cbd25,[09:21:52.688] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
6bff5f91,ARPT: 620999.902458: wlc_dump_aggfifo:,1
afceb6d2,CCProfileMonitor::profileCallback Entered token:1,54
02c49b58,CCProfileMonitor::setStreamEventHandler,54
8114a738,CCXPCService::setStreamEventHandler Registered for notification callback.,54
4065c796,FA||Url||taskID[2019353002] dealloc,1
71dd9661,[0701/092153:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
f84a4c86,ARPT: 621004.371770: wlc_dump_aggfifo:,1
80fa73ff,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
5001de9a,FA||Url||taskID[2019353003] dealloc,1
ecf9a9b2,"wifi scan failed with error: Error Domain=<*>  ""(null)""",5
0ef0aec0,09:23:26.531 : BTLE scanner Powered On,2
d02f1d0c,[09:23:26.755] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
7f383952,[0701/092327:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
e3c47511,[09:23:28.678] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
d9e765b3,43: Could not write data to client PID[53](configd) because of error - aborting connection,1
62c0f4c0,"43: DNSServiceCreateConnection: 0 registered records, 1 kDNSServiceFlagsShareConnection operation PID[53](configd)",1
9f678751,-> DNSServiceQueryRecord 0x0000D000 0 <*>. (PTR) PID[53](),5
b58e2930,FA||Url||taskID[2019353004] dealloc,1
de47efea,09:25:12.527 : BTLE scanner Powered On,1
79dcd02c,09:25:12.528 : BTLE scanner Powered On,1
dcb0d0c8,[09:25:12.734] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
42945a2b,[0701/092513:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
3cedd425,[09:25:17.370] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
c6aef6ff,FA||Url||taskID[2019353005] dealloc,1
b6c517a7,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",446
9934ee1d,dnssd_clientstub ConnectToServer: connect()-> No of tries: ,2304
722d96d1,<*>(31190) deny network-outbound /private/var/run/mDNSResponder,6
53b882d9,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,768
85a4e960,Sandbox:  deny(1) network-outbound /private/var/run/mDNSResponder,1659
369662f1,Unrecognized attribute value: t:AbchPersonItemType,355
7113c7e6,-[SOAPParser:0x7fb83ad79280 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
e9470ac7,09:26:41.467 : BTLE scanner Powered On,1
df8ba646,09:26:41.468 : BTLE scanner Powered On,1
fa9c320c,[09:26:41.690] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
3d895902,[0701/092642:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
b0e36cc6,[09:26:43.394] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
3b590f9d,FA||Url||taskID[2019353006] dealloc,1
0a5fa9d4,<*>(31201) deny network-outbound /private/var/run/mDNSResponder,1
4282196d,-[SOAPParser:0x7fd493691c20 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
f82ce28d,ARPT:  ARPT: Wake Reason: Wake on Scan offload; Disconnect reason: Class 3 frame received from nonassociated STA,27
5735546a,09:28:40.523 : BTLE scanner Powered On,1
1b0f22cb,[09:28:41.064] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
329d7b45,[0701/092841:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
a4739281,ARPT: 621197.355501: wlc_dump_aggfifo:,1
811a19c8,ARPT: 621197.509676: wlc_dump_aggfifo:,1
89607231,ARPT: 621197.900297: wlc_dump_aggfifo:,1
b51cea53,[09:28:46.728] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
f8f534a5,FA||Url||taskID[2019353007] dealloc,1
4128132c,<*>(31211) deny network-outbound /private/var/run/mDNSResponder,5
db736265,-[SOAPParser:0x7fe8d2462520 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
d2ad8853,tcp_connection_tls_session_error_callback_imp  __tcp_connection_tls_session_callback_write_block_invoke.434 error ,270
e6e3e484,09:30:33.523 : BTLE scanner Powered On,1
4206d0f4,[09:30:34.057] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
cd76adb6,[0701/093034:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
83f985dd,[09:30:34.537] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
5ee5c3b3,FA||Url||taskID[2019353008] dealloc,1
8705124b,<*>(31221) deny network-outbound /private/var/run/mDNSResponder,1
98c9c0d5,-[SOAPParser:0x7fa2b1dc8310 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
561bc499,09:31:43.469 : BTLE scanner Powered On,1
930fb919,[09:31:43.688] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
5adcce69,FA||Url||taskID[2019353009] dealloc,1
d56ac214,[0701/093144:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
8fccedd7,[09:31:48.658] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
06e7f3b6,FA||Url||taskID[2019353010] dealloc,1
69c4b9ca,<*>(31229) deny network-outbound /private/var/run/mDNSResponder,5
ee6744a4,-[SOAPParser:0x7ff73bc922a0 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
73050691,09:33:13.532 : BTLE scanner Powered On,1
9bb33f13,[09:33:13.735] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
0930cf6b,[0701/093314:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
b13abcb9,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1003 ""A server with the specified hostname could not be found.""  {Error Domain=kCFErrorDomainCFNetwork Code=-1003 ""A server with the specified hostname could not be found.""   _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=A server with the specified hostname could not be found.}},   _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=A server with the specified hostname could not be found.}",3
41f9a4fc,[09:33:14.931] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
ba67d163,FA||Url||taskID[2019353011] dealloc,1
322f495b,<*>(31239) deny network-outbound /private/var/run/mDNSResponder,1
f0645d3b,-[SOAPParser:0x7fbe227f7c20 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
aec048f7,09:34:42.470 : BTLE scanner Powered On,1
36756291,[09:34:42.692] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
f11468fd,[0701/093443:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
d2a4f557,[09:34:43.434] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
c003a5a3,FA||Url||taskID[2019353012] dealloc,1
9e1d6a84,<*>(31247) deny network-outbound /private/var/run/mDNSResponder,5
ec1e0fe5,-[SOAPParser:0x7fc3dae46ab0 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
2450f928,09:36:19.471 : BTLE scanner Powered On,1
b26c8c3e,09:36:19.472 : BTLE scanner Powered On,1
27a939e9,[09:36:19.688] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
747df788,[0701/093620:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
6be7bf26,[09:36:24.395] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
b71d7e40,FA||Url||taskID[2019353013] dealloc,1
67bfc4d4,<*>(31255) deny network-outbound /private/var/run/mDNSResponder,1
c5b869d1,-[SOAPParser:0x7fa682f62d90 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
d7ab01c6,09:39:57.522 : BTLE scanner Powered On,1
b1c69197,[09:39:57.925] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
fb051415,[0701/093958:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
d6f8ceb5,[09:39:58.444] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
50157c4c,FA||Url||taskID[2019353014] dealloc,1
25763237,<*>(31263) deny network-outbound /private/var/run/mDNSResponder,5
bb6aca7f,-[SOAPParser:0x7ffa6361caa0 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
884cc135,09:41:34.526 : BTLE scanner Powered On,1
71fcbeab,09:41:34.527 : BTLE scanner Powered On,1
acae7169,[09:41:34.730] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
209b3b88,[0701/094135:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
89c4d88e,[09:41:40.398] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
6b04e12f,FA||Url||taskID[2019353015] dealloc,1
67b1d568,<*>(31271) deny network-outbound /private/var/run/mDNSResponder,1
70cbc5e0,-[SOAPParser:0x7fc589770ff0 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
b0a514f1,09:42:49.527 : BTLE scanner Powered On,1
de41af40,09:42:49.528 : BTLE scanner Powered On,1
1ca69dd5,ARPT: 621592.044052: wlc_dump_aggfifo:,1
bf89a6c2,ARPT: 621592.118451: wlc_dump_aggfifo:,1
a13cd131,[09:42:49.847] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
e76a27be,FA||Url||taskID[2019353016] dealloc,1
e24df6ec,[0701/094250:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
664aac0a,[09:42:54.550] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
5aa224aa,(DiskStore.Normal:2382) 91a8 1.000050,1
7ee66c7f,FA||Url||taskID[2019353017] dealloc,1
a62e1025,<*>(31287) deny network-outbound /private/var/run/mDNSResponder,5
12ef9f6b,-[SOAPParser:0x7f89f456c9b0 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
a6784bd3,09:44:22.470 : BTLE scanner Powered On,1
efa82106,[09:44:22.993] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
4e54ff96,[0701/094423:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
bb977c8e,[09:44:28.346] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
efccf891,FA||Url||taskID[2019353018] dealloc,1
5a95a035,<*>(31298) deny network-outbound /private/var/run/mDNSResponder,5
df8f2f20,-[SOAPParser:0x7fc94345e050 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
4968707c,09:45:46.525 : BTLE scanner Powered On,1
cf0d7751,[09:45:46.724] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
018aebe3,ARPT: 621690.995717: wlc_dump_aggfifo:,1
0759faa2,[0701/094547:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
a242e10c,[09:45:51.874] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
11e022cd,FA||Url||taskID[2019353019] dealloc,1
6eb0505e,(DiskStore.Normal:2382) 20cb04f 1.028810,1
c1dfd34f,Stream  is sending an event before being opened,108
9da8d5ad,<*>(31306) deny network-outbound /private/var/run/mDNSResponder,2
c7b7d508,-[SOAPParser:0x7fd860f96f10 parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),1
17ff37de,Wake reason: RTC (Alarm),252
e1d8cde5,RTC: Maintenance   sleep  ,251
25e8c329,09:59:26.394 : BTLE scanner Powered On,1
d2171878,ARPT: 621753.189329: wlc_dump_aggfifo:,1
b7c87698,ARPT: 621773.418569: wlc_dump_aggfifo:,1
508ed61b,"arp_client_transmit(en0) failed, Network is down (50)",9
528d7e4a,"DHCP en0: ARP detect  failed, arp_client_transmit(en0) failed, Network is down (50)",4
9c13bab8,[bootp_transmit.c:213] bootp_transmit(): bpf_write(en0) failed: Network is down (50),3
de2da16e,DHCP en0:  transmit failed,3
c5dc7687,10:08:20.470 : BTLE scanner Powered On,1
8024ecc8,10:08:20.471 : BTLE scanner Powered On,1
9ddc6de4,10:08:20.472 : BTLE scanner Powered On,1
4cca6b3b,[10:08:20.695] <<<< CRABS >>>> crabsFlumeHostUnavailable: [0x7f961cf08cf0] Byte flume reports host unavailable.,1
e8725dd5,ARPT: 621799.177137: wlc_dump_aggfifo:,1
b611201c,ARPT: 621799.252511: wlc_dump_aggfifo:,1
7f5d4299,[0701/100821:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,1
c3943647,[10:08:25.628] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,1
